row_id,price_true,pred_median,pred_missforest,pred_llm,abs_err_median,abs_err_missforest,abs_err_llm
8,99.99,83.485,70.48806666666665,24.99,16.504999999999995,29.50193333333334,75.0
43,9.99,72.5,148.20323333333334,39.99,62.51,138.21323333333333,30.0
49,399.0,72.5,792.5525999999988,299.99,326.5,393.55259999999885,99.00999999999999
51,9.96,50.3,19.12176666666663,19.99,40.339999999999996,9.16176666666663,10.029999999999998
52,94.99,50.3,110.47710000000048,49.99,44.69,15.487100000000481,44.99999999999999
61,7.46,50.3,53.18346666666659,15.99,42.839999999999996,45.72346666666659,8.530000000000001
64,599.99,50.3,176.4864666666665,49.99,549.69,423.5035333333335,550.0
78,49.0,39.99,32.716699999999925,68.0,9.009999999999998,16.283300000000075,19.0
81,104.95,50.3,109.14380000000052,89.99,54.650000000000006,4.193800000000522,14.960000000000008
85,810.0,72.5,693.8465666666655,349.99,737.5,116.15343333333453,460.01
99,499.0,39.99,32.916566666666576,15.99,459.01,466.0834333333334,483.01
111,88.99,50.3,54.044166666666456,49.99,38.69,34.94583333333354,38.99999999999999
131,79.0,50.3,382.0390666666668,49.99,28.700000000000003,303.0390666666668,29.009999999999998
134,17.99,16.49,68.7144,25.99,1.5,50.7244,8.0
135,15.0,16.49,62.12363333333331,19.99,1.4899999999999984,47.12363333333331,4.989999999999998
142,89.99,72.5,44.73273333333326,29.99,17.489999999999995,45.25726666666674,60.0
145,23.99,72.5,26.91393333333328,39.99,48.510000000000005,2.923933333333281,16.000000000000004
148,431.0,72.5,882.585733333331,599.99,358.5,451.58573333333095,168.99
155,179.0,83.485,93.14656666666691,39.98,95.515,85.85343333333309,139.02
156,1029.0,50.3,96.43310000000038,599.99,978.7,932.5668999999996,429.01
182,181.0,72.5,151.7753333333333,79.99,108.5,29.224666666666707,101.01
213,30.0,50.3,49.55106666666663,24.99,20.299999999999997,19.551066666666628,5.010000000000002
216,359.99,16.939999999999998,124.64640000000018,39.99,343.05,235.3435999999998,320.0
226,200.0,75.0,128.9718333333333,50.0,125.0,71.02816666666669,150.0
231,33.89,50.3,112.18453333333358,49.99,16.409999999999997,78.29453333333358,16.1
241,300.0,75.0,69.02676666666673,200.0,225.0,230.97323333333327,100.0
242,79.45,83.485,150.13096666666644,79.99,4.034999999999997,70.68096666666644,0.539999999999992
243,259.99,75.0,192.0526999999996,89.99,184.99,67.93730000000042,170.0
244,7.99,72.5,66.33480000000003,599.0,64.51,58.34480000000003,591.01
270,338.0,72.5,147.95463333333342,39.99,265.5,190.04536666666658,298.01
279,1029.0,50.3,242.11453333333355,599.99,978.7,786.8854666666664,429.01
285,150.0,72.5,220.8245999999997,199.99,77.5,70.82459999999969,49.99000000000001
331,67.99,50.3,135.75456666666676,49.99,17.689999999999998,67.76456666666677,17.999999999999993
332,1169.0,72.5,833.1389666666652,599.99,1096.5,335.86103333333483,569.01
342,7.92,50.3,24.51296666666658,15.0,42.379999999999995,16.592966666666577,7.08
344,30.99,24.99,87.49456666666698,15.99,6.0,56.50456666666699,14.999999999999998
346,279.0,72.5,228.0958,249.99,206.5,50.9042,29.00999999999999
355,11.99,72.5,361.12726666666725,39.99,60.51,349.13726666666724,28.0
357,89.0,72.5,48.49323333333324,79.99,16.5,40.50676666666676,9.010000000000005
360,599.99,72.5,1038.8924999999967,449.99,527.49,438.90249999999673,150.0
368,1.75,72.5,24.97909999999993,19.99,70.75,23.22909999999993,18.24
373,1.25,16.939999999999998,16.01886666666664,15.0,15.689999999999998,14.76886666666664,13.75
374,23.0,24.99,63.86063333333339,14.99,1.9899999999999984,40.86063333333339,8.01
387,14.92,50.3,53.49959999999992,39.99,35.379999999999995,38.57959999999992,25.07
389,94.99,50.3,95.48726666666713,49.99,44.69,0.49726666666713015,44.99999999999999
390,5.01,72.5,43.82489999999995,29.99,67.49,38.81489999999995,24.979999999999997
393,1299.99,72.5,682.4042999999988,599.99,1227.49,617.5857000000012,700.0
408,287.99,83.485,364.2809666666676,89.99,204.505,76.2909666666676,198.0
412,289.99,72.5,62.83090000000004,49.99,217.49,227.15909999999997,240.0
413,34.76,83.485,100.65576666666678,99.99,48.725,65.89576666666679,65.22999999999999
420,81.0,50.3,234.08906666666616,149.99,30.700000000000003,153.08906666666616,68.99000000000001
423,199.99,50.3,530.441166666667,599.99,149.69,330.45116666666695,400.0
428,19.97,4.720000000000001,29.198733333333312,24.99,15.249999999999998,9.228733333333313,5.02
430,349.0,50.3,449.7444000000014,49.99,298.7,100.7444000000014,299.01
441,137.0,83.485,898.4176333333304,349.99,53.515,761.4176333333304,212.99
454,14.99,75.0,43.01013333333324,29.99,60.01,28.02013333333324,14.999999999999998
455,39.99,16.939999999999998,60.3141333333333,24.99,23.050000000000004,20.3241333333333,15.000000000000004
458,4.0,72.5,113.76370000000048,4.0,68.5,109.76370000000048,0.0
462,11.99,72.5,23.98076666666664,39.99,60.51,11.990766666666639,28.0
473,11.98,83.485,84.81220000000013,89.99,71.505,72.83220000000013,78.00999999999999
474,31.0,50.3,730.3880333333324,149.99,19.299999999999997,699.3880333333324,118.99000000000001
487,4.0,83.485,58.156999999999925,5.0,79.485,54.156999999999925,1.0
495,41.69,72.5,43.01613333333323,29.99,30.810000000000002,1.3261333333332317,11.7
503,49.99,50.3,150.67730000000017,19.99,0.30999999999999517,100.68730000000016,30.000000000000004
510,1200.0,72.5,914.6505666666652,249.99,1127.5,285.3494333333348,950.01
530,1399.99,72.5,695.3570999999986,349.99,1327.49,704.6329000000014,1050.0
537,179.99,83.485,222.3686333333329,249.99,96.50500000000001,42.378633333332886,70.0
541,357.97,50.3,23.754833333333305,12.99,307.67,334.21516666666673,344.98
543,19.49,72.5,53.97773333333319,39.99,53.010000000000005,34.487733333333196,20.500000000000004
552,39.99,50.3,107.0640000000008,39.99,10.309999999999995,67.07400000000081,0.0
553,1699.0,50.3,401.8738666666678,79.99,1648.7,1297.1261333333323,1619.01
554,299.0,50.3,160.03493333333327,24.99,248.7,138.96506666666673,274.01
555,4.0,50.3,32.73479999999995,5.0,46.3,28.73479999999995,1.0
585,3.33,58.42,65.29846666666663,49.99,55.09,61.96846666666663,46.660000000000004
595,9.99,83.485,64.47946666666671,49.99,73.495,54.48946666666671,40.0
597,33.99,50.3,418.4557333333348,49.99,16.309999999999995,384.4657333333348,16.0
603,19.96,72.5,48.08229999999984,39.99,52.54,28.12229999999984,20.03
604,250.0,72.5,160.82453333333328,29.99,177.5,89.17546666666672,220.01
620,599.0,72.5,655.789799999999,399.99,526.5,56.78979999999899,199.01
624,40.0,72.5,106.6327333333334,29.99,32.5,66.6327333333334,10.010000000000002
647,69.5,16.49,34.90569999999991,19.99,53.010000000000005,34.59430000000009,49.510000000000005
648,14.99,50.3,336.5237000000002,49.99,35.309999999999995,321.5337000000002,35.0
650,18.89,39.99,102.33843333333336,25.0,21.1,83.44843333333336,6.109999999999999
655,19.49,72.5,49.4456333333332,49.99,53.010000000000005,29.9556333333332,30.500000000000004
657,79.99,50.3,285.9596000000005,49.99,29.689999999999998,205.96960000000047,29.999999999999993
658,2.5,75.0,38.44419999999993,0.0,72.5,35.94419999999993,2.5
664,99.99,50.3,358.04466666666764,299.99,49.69,258.05466666666763,200.0
668,10.0,363.5,133.40026666666668,25.0,353.5,123.40026666666668,15.0
680,49.99,72.5,49.58819999999994,49.99,22.509999999999998,0.40180000000006544,0.0
714,7.48,50.3,47.29556666666659,29.99,42.81999999999999,39.815566666666584,22.509999999999998
717,134.0,83.485,152.5235666666669,49.99,50.515,18.52356666666691,84.00999999999999
723,199.0,83.485,125.37403333333351,49.99,115.515,73.62596666666649,149.01
731,10.53,4.720000000000001,18.03356666666662,24.99,5.809999999999999,7.50356666666662,14.459999999999999
733,6.0,50.3,186.6614666666665,149.99,44.3,180.6614666666665,143.99
738,9.97,50.3,230.320433333333,199.99,40.33,220.350433333333,190.02
750,229.99,50.3,205.1911999999998,49.99,179.69,24.7988000000002,180.0
754,15.99,9.995,44.068699999999886,15.0,5.995000000000001,28.078699999999884,0.9900000000000002
757,89.0,50.3,146.96163333333334,29.99,38.7,57.96163333333334,59.010000000000005
